key,value
scenario,S5
target,2
written_at,2026-09-21T22:41:02
tel_sent,681
tel_period_min_us,9927
tel_period_avg_us,9999
tel_period_max_us,10007
work_avg_us,4383
work_max_us,4395
cni_accepted,2
cni_debounce_rej,0
cni_btnq_drop,0
cni_rec_ovf,0
cni_rec_mismatch,0
cni_unarmed_rej,4
cni_events,2
cni_idle_press,0
cni_rx_overflow,0
cni_rx_err,0
cni_cmd_busy,0
cnt_txq_drop_tel,0
cnt_txq_drop_btn,0
cnt_rec_mismatch,0
cnt_uart_err,0
cnt_uart_timeout,0
cnt_rec_mismatch_tx,0
cnt_fmt_err_tel,0
cnt_fmt_err_btn,0
cnt_txq_hwm,2
cnt_cmd_err,0
